Universidad,Licenciatura,Integridad Académica
Universidad Autónoma de Yucatán,Filosofía,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Nutrición,Alta Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Baja California,Economía,Alta Integridad
Universidad Autónoma Metropolitana,Biología,Moderada Integridad
Universidad Autónoma del Estado de México,Ingeniería Civil,Alta Integridad
Universidad Autónoma del Estado de México,Matemáticas,Alta Integridad
Universidad Autónoma de Guadalajara,Sociología,Alta Integridad
Universidad Autónoma Metropolitana,Derecho,Baja Integridad
Universidad Nacional Autónoma de México,Comunicación,Moderada Integridad
Universidad Nacional Autónoma de México,Psicología,Alta Integridad
Universidad Autónoma de Querétaro,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Yucatán,Pedagogía,Moderada Integridad
Universidad Autónoma de Guadalajara,Comunicación,Alta Integridad
Universidad Autónoma de Guadalajara,Contaduría,Moderada Integridad
Universidad Nacional Autónoma de México,Historia,Baja Integridad
Universidad Autónoma de Chihuahua,Comunicación,Alta Integridad
Universidad Autónoma de San Luis Potosí,Economía,Moderada Integridad
Universidad Autónoma Metropolitana,Matemáticas,Baja Integridad
Universidad Autónoma de Yucatán,Ciencias de la Computación,Moderada Integridad
Universidad Autónoma de Baja California,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Nuevo León,Medicina,Alta Integridad
Universidad Autónoma del Estado de México,Pedagogía,Moderada Integridad
Universidad Autónoma de Yucatán,Psicología,Baja Integridad
Universidad Autónoma de Baja California,Sociología,Baja Integridad
Universidad Autónoma Metropolitana,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Baja California,Derecho,Baja Integridad
Universidad Autónoma de Nuevo León,Sociología,Alta Integridad
Universidad Autónoma de Guadalajara,Matemáticas,Baja Integridad
Universidad Autónoma de Yucatán,Comunicación,Moderada Integridad
Universidad Autónoma de Guadalajara,Comunicación,Alta Integridad
Universidad Autónoma de Yucatán,Nutrición,Moderada Integridad
Universidad Autónoma Metropolitana,Pedagogía,Baja Integridad
Universidad Autónoma de San Luis Potosí,Administración,Baja Integridad
Universidad Autónoma de San Luis Potosí,Psicología,Moderada Integridad
Universidad Autónoma de Guadalajara,Comunicación,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Biología,Baja Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Moderada Integridad
Universidad Autónoma de Yucatán,Pedagogía,Baja Integridad
Universidad Autónoma de Querétaro,Historia,Alta Integridad
Universidad Autónoma de Baja California,Ciencias de la Computación,Baja Integridad
Universidad Autónoma del Estado de México,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Baja California,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Yucatán,Economía,Baja Integridad
Universidad Autónoma de Querétaro,Sociología,Baja Integridad
Universidad Autónoma de Querétaro,Administración,Alta Integridad
Universidad Autónoma Metropolitana,Administración,Alta Integridad
Universidad Autónoma de Nuevo León,Psicología,Moderada Integridad
Universidad Autónoma de Nuevo León,Ingeniería Civil,Baja Integridad
Universidad Autónoma de San Luis Potosí,Ingeniería Civil,Baja Integridad
Universidad Autónoma Metropolitana,Psicología,Moderada Integridad
Universidad Autónoma de Yucatán,Administración,Baja Integridad
Universidad Autónoma del Estado de México,Biología,Baja Integridad
Universidad Autónoma de San Luis Potosí,Ciencias Políticas,Alta Integridad
Universidad Autónoma de Guadalajara,Administración,Baja Integridad
Universidad Autónoma de San Luis Potosí,Matemáticas,Alta Integridad
Universidad Autónoma de Baja California,Matemáticas,Baja Integridad
Universidad Autónoma de Guadalajara,Comunicación,Alta Integridad
Universidad Autónoma de Nuevo León,Psicología,Alta Integridad
Universidad Autónoma de Baja California,Sociología,Alta Integridad
Universidad Autónoma de Guadalajara,Economía,Moderada Integridad
Universidad Autónoma de Chihuahua,Biología,Alta Integridad
Universidad Autónoma de Baja California,Ciencias de la Computación,Baja Integridad
Universidad Autónoma del Estado de México,Historia,Moderada Integridad
Universidad Nacional Autónoma de México,Sociología,Alta Integridad
Universidad Nacional Autónoma de México,Comunicación,Baja Integridad
Universidad Autónoma del Estado de México,Medicina,Alta Integridad
Universidad Autónoma del Estado de México,Biología,Alta Integridad
Universidad Autónoma de Guadalajara,Arquitectura,Baja Integridad
Universidad Autónoma de San Luis Potosí,Administración,Alta Integridad
Universidad Autónoma de Chihuahua,Diseño Gráfico,Alta Integridad
Universidad Autónoma del Estado de México,Economía,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Contaduría,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Relaciones Internacionales,Alta Integridad
Universidad Nacional Autónoma de México,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Querétaro,Contaduría,Alta Integridad
Universidad Autónoma de Nuevo León,Matemáticas,Alta Integridad
Universidad Autónoma de San Luis Potosí,Medicina,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Moderada Integridad
Universidad Autónoma de Querétaro,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Querétaro,Administración,Baja Integridad
Universidad Autónoma de Querétaro,Economía,Baja Integridad
Universidad Autónoma de Nuevo León,Biología,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Historia,Moderada Integridad
Universidad Nacional Autónoma de México,Arquitectura,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Comunicación,Moderada Integridad
Universidad Autónoma del Estado de México,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de San Luis Potosí,Historia,Moderada Integridad
Universidad Autónoma de Nuevo León,Psicología,Baja Integridad
Universidad Autónoma de Querétaro,Pedagogía,Alta Integridad
Universidad Nacional Autónoma de México,Matemáticas,Alta Integridad
Universidad Autónoma de Querétaro,Psicología,Alta Integridad
Universidad Autónoma de Chihuahua,Biología,Moderada Integridad
Universidad Autónoma de Baja California,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Yucatán,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Baja California,Biología,Alta Integridad
Universidad Autónoma de Yucatán,Diseño Gráfico,Moderada Integridad
Universidad Autónoma de Nuevo León,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Yucatán,Psicología,Baja Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Baja Integridad
Universidad Autónoma de Querétaro,Historia,Baja Integridad
Universidad Autónoma de Chihuahua,Matemáticas,Alta Integridad
Universidad Nacional Autónoma de México,Psicología,Baja Integridad
Universidad Autónoma de Chihuahua,Nutrición,Baja Integridad
Universidad Autónoma de Querétaro,Medicina,Baja Integridad
Universidad Autónoma de Guadalajara,Pedagogía,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Relaciones Internacionales,Alta Integridad
Universidad Autónoma del Estado de México,Psicología,Baja Integridad
Universidad Autónoma de Querétaro,Arquitectura,Alta Integridad
Universidad Autónoma de Guadalajara,Psicología,Alta Integridad
Universidad Autónoma de San Luis Potosí,Biología,Moderada Integridad
Universidad Autónoma del Estado de México,Filosofía,Alta Integridad
Universidad Autónoma de Yucatán,Historia,Alta Integridad
Universidad Autónoma Metropolitana,Medicina,Alta Integridad
Universidad Autónoma de Baja California,Pedagogía,Baja Integridad
Universidad Autónoma del Estado de México,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de Baja California,Matemáticas,Alta Integridad
Universidad Autónoma de Baja California,Pedagogía,Alta Integridad
Universidad Autónoma de Querétaro,Matemáticas,Moderada Integridad
Universidad Nacional Autónoma de México,Historia,Alta Integridad
Universidad Autónoma de Baja California,Sociología,Baja Integridad
Universidad Autónoma de Yucatán,Filosofía,Alta Integridad
Universidad Autónoma de Querétaro,Contaduría,Moderada Integridad
Universidad Autónoma Metropolitana,Ciencias Políticas,Baja Integridad
Universidad Autónoma de Nuevo León,Arquitectura,Alta Integridad
Universidad Autónoma de Chihuahua,Diseño Gráfico,Baja Integridad
Universidad Autónoma de San Luis Potosí,Historia,Alta Integridad
Universidad Autónoma del Estado de México,Diseño Gráfico,Baja Integridad
Universidad Autónoma Metropolitana,Administración,Alta Integridad
Universidad Autónoma de Guadalajara,Nutrición,Moderada Integridad
Universidad Autónoma de Querétaro,Nutrición,Alta Integridad
Universidad Autónoma del Estado de México,Sociología,Alta Integridad
Universidad Nacional Autónoma de México,Nutrición,Alta Integridad
Universidad Autónoma del Estado de México,Comunicación,Baja Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Alta Integridad
Universidad Autónoma del Estado de México,Psicología,Alta Integridad
Universidad Nacional Autónoma de México,Psicología,Alta Integridad
Universidad Autónoma de Yucatán,Ingeniería Civil,Alta Integridad
Universidad Nacional Autónoma de México,Sociología,Moderada Integridad
Universidad Autónoma Metropolitana,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Guadalajara,Arquitectura,Baja Integridad
Universidad Autónoma de Baja California,Sociología,Baja Integridad
Universidad Autónoma de San Luis Potosí,Ciencias de la Computación,Baja Integridad
Universidad Autónoma de San Luis Potosí,Matemáticas,Baja Integridad
Universidad Autónoma de Querétaro,Ingeniería Civil,Baja Integridad
Universidad Autónoma de Guadalajara,Diseño Gráfico,Baja Integridad
Universidad Autónoma de Guadalajara,Contaduría,Alta Integridad
Universidad Autónoma de Guadalajara,Administración,Alta Integridad
Universidad Autónoma del Estado de México,Comunicación,Alta Integridad
Universidad Autónoma de Guadalajara,Psicología,Alta Integridad
Universidad Autónoma de Guadalajara,Contaduría,Alta Integridad
Universidad Autónoma de Chihuahua,Pedagogía,Alta Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de Chihuahua,Contaduría,Moderada Integridad
Universidad Autónoma de Nuevo León,Matemáticas,Alta Integridad
Universidad Autónoma de Baja California,Psicología,Alta Integridad
Universidad Autónoma Metropolitana,Filosofía,Baja Integridad
Universidad Autónoma del Estado de México,Economía,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Biología,Alta Integridad
Universidad Autónoma de San Luis Potosí,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Historia,Baja Integridad
Universidad Autónoma de Chihuahua,Administración,Moderada Integridad
Universidad Autónoma de Querétaro,Historia,Alta Integridad
Universidad Autónoma de Guadalajara,Ciencias de la Computación,Baja Integridad
Universidad Autónoma Metropolitana,Historia,Moderada Integridad
Universidad Autónoma de Chihuahua,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Alta Integridad
Universidad Autónoma de Querétaro,Contaduría,Baja Integridad
Universidad Autónoma de Baja California,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Baja California,Comunicación,Alta Integridad
Universidad Autónoma de San Luis Potosí,Pedagogía,Baja Integridad
Universidad Autónoma de Yucatán,Psicología,Alta Integridad
Universidad Autónoma de Chihuahua,Contaduría,Baja Integridad
Universidad Autónoma de Baja California,Diseño Gráfico,Baja Integridad
Universidad Autónoma de Guadalajara,Ingeniería Civil,Alta Integridad
Universidad Autónoma de Yucatán,Ciencias Políticas,Moderada Integridad
Universidad Autónoma de Yucatán,Administración,Baja Integridad
Universidad Autónoma de Nuevo León,Nutrición,Baja Integridad
Universidad Autónoma de Chihuahua,Historia,Moderada Integridad
Universidad Autónoma Metropolitana,Diseño Gráfico,Baja Integridad
Universidad Autónoma de Guadalajara,Derecho,Baja Integridad
Universidad Autónoma Metropolitana,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma Metropolitana,Ingeniería Civil,Moderada Integridad
Universidad Autónoma de Yucatán,Ciencias de la Computación,Alta Integridad
Universidad Autónoma de Chihuahua,Filosofía,Baja Integridad
Universidad Autónoma de Nuevo León,Pedagogía,Alta Integridad
Universidad Autónoma de Guadalajara,Historia,Baja Integridad
Universidad Autónoma de Baja California,Psicología,Moderada Integridad
Universidad Autónoma de Guadalajara,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Nuevo León,Comunicación,Alta Integridad
Universidad Autónoma de San Luis Potosí,Economía,Alta Integridad
Universidad Autónoma de Nuevo León,Pedagogía,Baja Integridad
Universidad Autónoma de Yucatán,Biología,Alta Integridad
Universidad Autónoma de Nuevo León,Relaciones Internacionales,Baja Integridad
Universidad Autónoma de Nuevo León,Economía,Moderada Integridad
Universidad Autónoma de Nuevo León,Ciencias Políticas,Baja Integridad
Universidad Autónoma Metropolitana,Sociología,Moderada Integridad
Universidad Autónoma de Querétaro,Relaciones Internacionales,Moderada Integridad
Universidad Autónoma de San Luis Potosí,Derecho,Baja Integridad
Universidad Autónoma de Yucatán,Ciencias de la Computación,Alta Integridad
